"userid",incorporation,bank,credit,funding,hiring,office,exit,"comments","last_updated","last_retrieved"
"1c5987a1-82d2-4cbb-96a9-f52445651728",60,2,360,360,120,7,360,,"2016-08-22 13:50:39","2016-10-24"
"1dd0b9bc-a1ed-4e0e-ae7c-3db82a6f1ebe",90,30,30,180,30,30,180,"environmental conservation","2016-09-05 13:40:11","2016-10-24"
"227350ae-26b5-4257-88ed-ac04f7528591",10,7,15,30,20,30,30,,"2016-06-20 22:43:29","2016-10-24"
"2341f249-cddc-424f-9304-90f41927a4b0",20,5,90,25,45,15,1200,"Very important as it can improve well being","2016-08-11 15:10:54","2016-10-24"
"23d19ac0-998b-45ef-bac7-d80109da8fdd",5,2,60,90,40,60,30,,"2016-07-04 18:12:10","2016-10-24"
"25f34aa8-94f5-4e76-9c82-caf2c4f69c25",21,2,90,90,21,14,180,"I believe the future in the automotive industry is the hybrid and electric cars. The future of our business service is developing technologies that can cater for such vehicles","2016-08-02 14:01:37","2016-10-24"
"2629e5a4-ffbb-4c04-8da2-46932180dc38",45,5,5,180,25,10,1000,,"2016-07-27 07:54:09","2016-10-24"
"2745db0e-9490-4581-b6b3-094a346762b0",10,2,30,60,5,30,10,,"2016-07-13 15:07:46","2016-10-24"
"2799f22b-bae6-4fc8-ae98-1f6585019421",30,365,1095,730,60,90,2104,"There are gaps in the ecosystem, No platform for people to meet, everyone is doing their own thing","2016-08-17 18:08:32","2016-10-24"
"291596df-81e4-4388-9854-9a887ecd4f9e",30,2,15,20,25,30,30,,"2016-05-24 18:06:35","2016-10-24"
"2a0318d4-ad3d-4609-be9d-893cb8b576f1",30,5,60,120,30,30,100,,"2016-05-24 18:06:35","2016-10-24"
"2b8f674e-075e-4d6a-a2d1-391a7c504adc",15,5,120,200,60,30,100000,,"2016-05-24 18:06:35","2016-10-24"
"2bae9e09-eae0-43ab-b942-61ca41b897c5",50,5,50,180,60,30,180,,"2016-06-20 19:50:52","2016-10-24"
"2bbdfd26-b21d-44f5-b8b8-4272385491dd",150,2,120,180,20,30,1095,"Environment can also serve human life ,","2016-09-01 13:14:34","2016-10-24"
"2c07770e-a5dc-4fbe-b853-4757ef520df8",100,10,200,200,60,1,0,,"2016-06-20 14:14:12","2016-10-24"
"2c14a2c8-0c2f-4300-8d17-f4821ff9b34a",60,7,730,1825,365,730,730,,"2016-08-03 10:50:59","2016-10-24"
"2c3fbdda-2e1e-4c66-8164-7926efd9903f",180,7,14,30,30,30,1095,"Investment","2016-08-10 14:43:04","2016-10-24"
"2e19730f-965a-45c0-ba95-139e633cfb5f",7,3,14,70,30,45,1095,,"2016-08-15 08:43:08","2016-10-24"
"2e1ccc82-cd72-464c-ba75-1e614c44ab33",30,2,180,180,30,14,1095,,"2016-08-19 11:26:07","2016-10-24"
"2e2b68b7-e5d2-428c-8868-95e07fbcaf92",5,7,23,109,30,66,101,,"2016-05-30 08:04:12","2016-10-24"
"2e2ebc7e-95dd-493e-a9cc-4f4acf496322",30,2,180,90,30,60,1095,,"2016-08-31 14:37:19","2016-10-24"
"2eced606-fe98-4806-bc14-80a92a7d56bb",240,30,90,180,30,120,2850,,"2016-08-19 10:30:32","2016-10-24"
"30a85a1e-026b-4f7b-b262-05475fd7736e",15,5,60,90,60,30,1000,"The VCs need to invest more in start ups and take more risks, rather than invest in safe start ups .. they are very risk averse.","2016-07-05 19:28:27","2016-10-24"
"30bde91f-57fd-40df-a743-e5872824f23e",10,20,0,0,90,14,0,,"2016-09-01 12:37:24","2016-10-24"
"30c768ea-7ee3-47e2-8a9f-e24b6e5be6ad",14,7,1095,1095,365,7,2000,"Players in the ecosystem, eg incubators, hubs, accelerators etc should work together to build a stronger ecosystem rather than competing and dividing opportunites.","2016-08-15 16:47:38","2016-10-24"
"31aa72b2-1de5-4e48-a6a8-2f4d9427ef5b",5,2,1,30,10,5,0,,"2016-08-25 14:05:01","2016-10-24"
"32565e05-1c9f-4f51-9b33-9e1bd47f975f",30,1,30,180,30,30,0,,"2016-06-21 11:21:34","2016-10-24"
"32c73fcf-f803-4240-9691-5b0743e48e18",303,3,90,90,7,14,0,,"2016-09-01 13:40:49","2016-10-24"
"32dd93f5-3159-4ed2-a0a1-466e30973b6d",60,30,60,120,30,15,700,,"2016-06-20 18:59:50","2016-10-24"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde",30,1,7,60,60,30,90,,"2016-07-14 07:51:00","2016-10-24"
"337366f6-3a4a-4fd3-8652-c22a157d763c",45,5,30,120,21,21,600,,"2016-05-24 18:06:35","2016-10-24"
"3417f1ac-0100-418f-809d-f96a809953bf",10,2,20,90,60,30,300,,"2016-05-24 18:06:35","2016-10-24"
"3444b5e1-859e-43f6-86fb-c15de1aeea51",90,30,30,500,200,30,100,,"2016-08-02 16:25:17","2016-10-24"
"3450c89b-7ca0-4c7f-9ac0-7b5331c52be2",30,1,120,180,30,60,0,,"2016-09-07 09:04:00","2016-10-24"
"34a57f2c-918d-4a58-aafd-92f295faf87f",180,90,90,90,30,365,1095,,"2016-08-18 10:40:41","2016-10-24"
"3571d30b-df80-471a-938b-83f7bd1d0c25",0,0,0,0,90,30,0,,"2016-07-15 08:39:11","2016-10-24"
"35721ed3-24de-4778-b09d-e46afff5f6dd",7,1,180,120,7,30,730,,"2016-09-02 09:50:52","2016-10-24"
"35826031-6e9f-4670-918d-1aa068fa1aff",21,1,120,365,25,30,1095,,"2016-08-31 16:21:24","2016-10-24"
"3584131f-9d40-4846-b91a-220494448812",21,1,2000,2000,1,60,2000,,"2016-08-02 08:27:26","2016-10-24"
"35cb5d15-0ba4-4426-a4eb-49884d0e7ced",21,2,7,365,90,30,3650,"Developers should make products that are interoperable.","2016-08-04 13:11:00","2016-10-24"
"3919e4f2-60a1-4a53-9a3e-736b32a8fdb2",3,2,2,7,7,7,1,,"2016-07-26 09:15:11","2016-10-24"
"39638c24-9ad0-48bf-a267-68069ee2b97a",90,4,730,180,7,30,3650,"There is a need for more collaborations between players and sharing of resources","2016-08-17 18:55:43","2016-10-24"
"3972b9f3-d109-4fed-a8d7-23f0f1c47ff4",180,14,7,90,1,90,3650,,"2016-08-17 17:03:40","2016-10-24"
"3993598a-87b2-443a-ab7c-678c989c4ad4",5,2,0,10,2,10,1,,"2016-08-17 16:02:14","2016-10-24"
