"","to","from","label.x","major","last_updated.x","degree","date_end.x","host_role","date_start.x","num_connections","num_interactions","amount","founder_status","investment_type","job_level","job_function","X","userid","group","label.y","date_start.y","date_end.y","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated.y","last_retrieved"
"154","5dccd1ec-6874-4de7-906e-45f549926c57","aaddf07f-e59d-4dbf-bbdd-470b48b61eea","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","technical",170,"291596df-81e4-4388-9854-9a887ecd4f9e","organization","LEBANON","2012-01-01","","Lebanon",33.8547211,35.8622856,"ChIJraoihAIXHxURcPkAbAk0fcw",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"155","5dccd1ec-6874-4de7-906e-45f549926c57","0590b7cb-4911-4c99-afa3-e8b87ba9ef08","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","business",170,"291596df-81e4-4388-9854-9a887ecd4f9e","organization","LEBANON","2012-01-01","","Lebanon",33.8547211,35.8622856,"ChIJraoihAIXHxURcPkAbAk0fcw",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"156","5dd42f79-cd9b-4049-abe1-541be162cc94","4c3629e3-2cb4-473f-b096-0103e1ef5ebc","mentored","","2016-07-29 10:38:07","","","","2016-04-01",NA,3,NA,"","","","",682,"a965a09f-2920-4ff6-aa7a-40075ecde0c3","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-29 10:38:07","2016-10-24"
"157","5dea990a-3980-429d-9b5d-a7b56b76cf54","84fd26f0-91af-4808-9a3b-21efca3fb858","mentored","","2016-07-25 10:20:46","","","","2016-02-01",NA,2,NA,"","","","",410,"5ecfdd4c-06f2-48a1-af19-c69f0e6702a1","person","TRIPOLI, NORTH, LEBANON","","","Tripoli, Lebanon",34.4345932,35.8361626,"ChIJM524nav2IRUReIXefVJSPDI",NA,"",NA,NA,"Lebanon","North","Tripoli","Tripoli",NA,NA,NA,"Tripoli",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-25 10:20:46","2016-10-24"
"158","5ed72c04-3b03-4920-a516-80bba5045c7b","70423686-eb7f-4f35-b000-f976d12d63b8","attended","","2016-05-31 13:58:40","","","","",10,NA,NA,"","","","",749,"bac08cb7-c5c4-4f64-84f1-ac4423be4cd5","event","BIEL CENTER BEIRUT INTERNATIONAL EXHIBITION AND LEISURE CENTER BEIRUT LEBANON","2016-05-01","2016-05-01","BCD Colony, Beirut, Lebanon",33.9055786,35.5095291,"ChIJqVuTvu0WHxURxMF4l38QbYg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-31 13:58:40","2016-10-24"
"159","5ed72c04-3b03-4920-a516-80bba5045c7b","094b76b9-df22-4af1-aad3-47e854b72815","hosted","","2016-05-31 13:58:40","","2016-05-01","primary","2016-05-01",NA,NA,NA,"","","","",749,"bac08cb7-c5c4-4f64-84f1-ac4423be4cd5","event","BIEL CENTER BEIRUT INTERNATIONAL EXHIBITION AND LEISURE CENTER BEIRUT LEBANON","2016-05-01","2016-05-01","BCD Colony, Beirut, Lebanon",33.9055786,35.5095291,"ChIJqVuTvu0WHxURxMF4l38QbYg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-31 13:58:40","2016-10-24"
"160","658bf5fe-0742-4a92-80e0-0e8a4a2e2ac1","504c5a86-8cce-4540-ba50-4cf96a9ffb83","mentored","","2016-07-14 08:29:24","","","","2013-10-01",NA,2,NA,"","","","",849,"c64f4f46-e985-44a8-9129-5eb103e88875","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-14 08:29:24","2016-10-24"
"161","658bf5fe-0742-4a92-80e0-0e8a4a2e2ac1","1b185305-1162-49df-bbdb-73839518358d","mentored","","2016-07-14 08:29:24","","","","2014-09-01",NA,3,NA,"","","","",849,"c64f4f46-e985-44a8-9129-5eb103e88875","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-14 08:29:24","2016-10-24"
"162","658bf5fe-0742-4a92-80e0-0e8a4a2e2ac1","b8877009-f8b6-4dc6-8a41-ff6e43135562","mentored","","2016-07-14 08:29:24","","","","2014-02-01",NA,1,NA,"","","","",849,"c64f4f46-e985-44a8-9129-5eb103e88875","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-14 08:29:24","2016-10-24"
"163","70423686-eb7f-4f35-b000-f976d12d63b8","3510a0bf-4e5a-4975-ad7e-61dd4205f947","mentored","","2016-05-31 13:58:40","","2016-04-01","","2016-04-01",NA,1,NA,"","","","",751,"bac08cb7-c5c4-4f64-84f1-ac4423be4cd5","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-31 13:58:40","2016-10-24"
"164","71ee44fb-22f0-4ad1-9b27-fe5d6b2b685f","94030cf0-0050-403a-a39b-afdd3e58c509","mentored","","2016-06-20 08:46:24","","2016-06-01","","2015-03-01",NA,1,NA,"","","","",637,"960969d4-95c1-47a5-853b-208cc0a63526","person","BRUMMANA, MOUNT LEBANON, LEBANON","","","Brummana, Lebanon",33.885273,35.6386871,"ChIJu7oqYRg8HxURjptat57yhgQ",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","Brummana",NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-20 08:46:24","2016-10-24"
"165","753dce10-068d-45ce-b3dd-7406c5120495","f70e6aa5-7854-466d-b81a-590282d1435f","mentored","","2016-05-24 18:06:35","","","","2013-06-01",NA,1,NA,"","","","",669,"a3c4be9d-83b0-4f7d-a784-caa311bc7138","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"166","753dce10-068d-45ce-b3dd-7406c5120495","a1a809e1-b5ce-4c0c-b246-210d37d44eb9","mentored","","2016-05-24 18:06:35","","","","2015-01-01",NA,1,NA,"","","","",669,"a3c4be9d-83b0-4f7d-a784-caa311bc7138","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"167","753dce10-068d-45ce-b3dd-7406c5120495","28b8bfab-2660-431f-bc0a-8e335ea5815d","mentored","","2016-05-24 18:06:35","","","","2012-06-01",NA,1,NA,"","","","",669,"a3c4be9d-83b0-4f7d-a784-caa311bc7138","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"168","78464683-2f4f-4018-bd1e-419dcdb9d2bb","1b0c440d-073b-4d8a-a56c-ff6480a7f4ea","founded","","2016-07-14 15:24:28","","","","",NA,NA,NA,"","","","both",984,"dedc6fdf-19b1-40a6-982f-1c237f831f40","organization","BEIRUT DIGITAL DISTRICT BEIRUT LEBANON","2016-02-01","","1 floor ZTE corpiration Bdd1499, Nassif Yazigi Street,, Beirut, Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","",NA,NA,NA,"Beirut",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-07-14 15:24:28","2016-10-24"
