"","userid","nodeid","group","label","date_start","date_end","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated","last_retrieved"
"435","616f77cc-b183-4e8e-add2-50eefee8eba3","30ece722-0dfb-4d80-aec9-18ed9bae82d5","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"442","6607952c-0ad4-405c-869c-ee9852f0f80d","d43253e7-ce00-4dbd-9eab-b4eee0806670","location","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","","","",NA,"","Beirut",NA,NA,"","","","11-7503","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-15 06:01:26","2016-10-24"
"443","6607952c-0ad4-405c-869c-ee9852f0f80d","c2b63cde-2784-4ae6-801c-be66a6d2cc71","location","BERYTECH TECHNOLOGICAL POLE BEIRUT LEBANON","","","Berytech Technological Pole, Beirut, Lebanon",33.8802719,35.5140457,"ChIJVZo_VAQXHxUR-DaI2gC__9M",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","Berytech Technological Pole","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-15 06:01:26","2016-10-24"
"444","6607952c-0ad4-405c-869c-ee9852f0f80d","cf5c7b41-9389-4610-a900-cc5b0a691d8a","location","FORUM DE BEIRUT EXPO JISR BEIRUT LEBANON","","","Jisr, Lebanon",33.898304,35.5353928,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-15 06:01:26","2016-10-24"
"445","6607952c-0ad4-405c-869c-ee9852f0f80d","71d9e2d7-ed56-4197-bb8d-6093bd5123ff","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-15 06:01:26","2016-10-24"
"447","66d74b7b-4c0e-44ac-ae16-24446f35acfd","d0e3e874-7dfc-4a08-9303-fd59bc10d64e","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-27 13:08:16","2016-10-24"
"451","67448d3b-cf0a-4fc2-bd05-19c05e96ceee","add33129-5fd9-4470-a4c4-84b09aa3f3b0","location","FORUM DE BEIRUT EXPO BEIRUT BEIRUT GOVERNORATE LEBANON","","","Jisr, Bayrut, Lebanon",33.898304,35.5353928,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","Bayrut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-26 08:09:08","2016-10-24"
"452","67448d3b-cf0a-4fc2-bd05-19c05e96ceee","ab8115e0-154c-4fa3-8bce-ebcf0bf9a9be","location","LEMALL BEIRUT MOUNT LEBANON LEBANON","","","Sin El Fil, Beirut, Lebanon",33.8698349,35.5369034,"ChIJT6hgcLoXHxURumhcYxCzaSg",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","","",NA,"","Beirut",NA,NA,"Sin El Fil","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-26 08:09:08","2016-10-24"
"453","67448d3b-cf0a-4fc2-bd05-19c05e96ceee","92daf71e-6d0b-4170-b39f-0e7478aebd16","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-26 08:09:08","2016-10-24"
"454","674bb3ee-58f4-4432-a0e2-d2da757db935","edc68134-e1a7-40b6-88d7-1b73d238215b","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-21 14:22:35","2016-10-24"
"455","67679509-d287-462e-b60f-72cd04042a83","31a392a4-8d47-4e72-9b67-0073c9b3da36","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 09:07:58","2016-10-24"
"456","67f2f506-e693-43a1-9392-632739ed7e8e","8d20edf1-39dd-4d2f-b41f-8c2eacc402bf","person","BAABDA","","","Baabda, Lebanon",33.833797,35.544145,"ChIJqaVAZfIXHxUReIVYwvDZBR8",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Baabda","Baabda","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 07:42:52","2016-10-24"
"458","6a73df63-de4c-4de2-a9a8-955c2d34b6a6","95ccf665-f265-4c1c-b17d-c2e83f4d121e","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 15:18:19","2016-10-24"
