"","userid","nodeid","group","label","date_start","date_end","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated","last_retrieved"
"501","773fa5d5-a347-48bb-a835-79c651aa3df7","9398eeea-401b-409c-a54b-39bb4b412168","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-13 18:07:15","2016-10-24"
"514","7af8d014-d9db-48b9-abc8-6580a7c504dd","84138f10-729a-4bda-aa04-3ce1c2adaa6a","location","STARBUCKS COFFEE SASSINE BEIRUT LEBANON","","","Sassine, Beirut, Lebanon",33.8876152,35.5210838,"ChIJKZmtd_8WHxURW5vZNghtUhM",NA,"Sassine",NA,NA,"Lebanon","Beirut","Beirut","Mar Mitr","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"515","7af8d014-d9db-48b9-abc8-6580a7c504dd","80fa8ec6-3002-47f3-a350-5d6955a7006e","location","BERYTECH DIGITAL PARK BACHOURA LEBANON","","","Bachoura, Lebanon",33.8903122,35.5062675,"ChIJZ2RgD-IWHxURXweF1MD4L7Y",NA,"",NA,NA,"Lebanon","","Beirut","Bachoura","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"516","7af8d014-d9db-48b9-abc8-6580a7c504dd","9da35964-9eab-4de8-af61-de77650ecb6f","location","FORUM DE BEIRUT EXPO JISR BEIRUT LEBANON","","","Jisr, Lebanon",33.8980865,35.5340004,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"517","7af8d014-d9db-48b9-abc8-6580a7c504dd","36bbbdd1-474a-4dd4-b044-2501101000bb","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"531","7f24eba2-86a2-4e23-8c1d-8b561a3aab61","ef6f1d90-fd83-4c39-bb9c-ed26f9ce9bad","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"537","80bfb5f3-4ed0-48be-84bc-dbf125d33596","05403d9a-46a0-40af-8fe7-65da12f8f2dc","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"538","813a90b4-5502-4263-9ee5-dacc5e296a30","ad0811f2-4860-4d9a-a642-e35c206557f4","location","MANSOURIYEH MOUNT LEBANON LEBANON","","","Mansouriyeh, Lebanon",33.8577538,35.5684357,"ChIJ1XE4_WI9HxURjE2_j8QUmF4",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Mansouriye","",NA,"","Mansouriyeh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-13 13:45:53","2016-10-24"
"539","813a90b4-5502-4263-9ee5-dacc5e296a30","32eb89a5-5477-48bb-8447-fdd8b7c8117c","location","MANSOURIYEH MOUNT LEBANON LEBANON","","","Mansouriyeh, Lebanon",33.8577538,35.5684357,"ChIJ1XE4_WI9HxURjE2_j8QUmF4",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Mansouriye","",NA,"","Mansouriyeh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-13 13:45:53","2016-10-24"
"540","813a90b4-5502-4263-9ee5-dacc5e296a30","62640e46-ef6d-4252-b85f-66f3f0e280c3","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-13 13:45:53","2016-10-24"
"541","8159b020-974c-476b-ac8c-948680832528","16c57607-d06e-4610-ab1d-dfcb3c52ea07","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-02 09:02:14","2016-10-24"
"546","82007eab-2ac9-43f1-8322-332f3549984a","49e139ac-21de-42ce-bdf7-e66778f70cfb","location","LAU BEIRUT UNIVERSITY KRAYTEM BEIRUT LEBANON","","","West Beirut, Beirut, Lebanon",33.8927765,35.4777794,"ChIJeyA1M9MQHxURAkmvS_12Y1c",NA,"",NA,NA,"Lebanon","محافظة بيروت","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 08:45:33","2016-10-24"
"550","82007eab-2ac9-43f1-8322-332f3549984a","f6658c3c-0501-49f6-984e-6c46dedd029a","organization","RABWEH","2013-05-01","","Rabieh, Lebanon",33.9165335,35.6077849,"ChIJV0tuu18-HxURdJ4f1XDy-3M",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Matn","","",NA,"","Rabieh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 08:45:33","2016-10-24"
"551","82007eab-2ac9-43f1-8322-332f3549984a","9e24fc06-1dbe-488d-b188-6eb49b2dd3b8","location","BERYTECH DIGITAL PARK BACHOURA LEBANON","","","Bachoura, Lebanon",33.8903122,35.5062675,"ChIJZ2RgD-IWHxURXweF1MD4L7Y",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Bachoura","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 08:45:33","2016-10-24"
"552","830ef37a-e81b-4e2d-98fa-d6eed53db7e5","9a241e8b-4251-42c6-bcd0-cbb024319500","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"553","83225492-0aef-40f9-91be-7c9450409aec","c6b3716f-82e3-472e-a748-5e1f10cc6cbe","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"578","89627529-77b8-4c42-a4d0-5b3e1221f7ef","a0ea3a6f-ece0-4df1-99f9-33e3b817f899","person","BIKFAYIA, MOUNT LEBANON, LEBANON","","","Bikfayia, Lebanon",33.9146919,35.6888046,"ChIJP7RJg_Y4HxUR6Av9FMAyJAE",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Bikfayia","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-02 11:01:40","2016-10-24"
"582","8aacdd7b-47e7-443c-b32d-ed70a2d6c795","19521cf2-58cf-4276-8696-cfc7c5274744","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-14 08:56:05","2016-10-24"
"583","8acea184-fd78-4325-8764-5ed85f550118","1ee6a809-8b41-4dae-af67-b72720a4982e","event","LEBANON","2016-01-01","2016-02-01","Lebanon",33.854721,35.862285,"ChIJraoihAIXHxURcPkAbAk0fcw",NA,"",NA,NA,"Lebanon","","","","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-02 11:29:35","2016-10-24"
"584","8acea184-fd78-4325-8764-5ed85f550118","2ed30e44-5dd0-4e68-b1b0-9409cbf6b7f9","location","BEIRUT LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-02 11:29:35","2016-10-24"
"585","8acea184-fd78-4325-8764-5ed85f550118","a748d5c3-1859-40eb-91d4-fd13f0c648c1","location","BEIRUT DIGITAL DISTRICT BEIRUT LEBANON","","","1 floor ZTE corpiration Bdd1499, Nassif Yazigi Street,, Beirut, Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-02 11:29:35","2016-10-24"
"586","8bb15ab4-6a57-4c73-a1de-256c58112f5d","24194664-8dd2-4e9a-ab3f-ed9e9628f889","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-14 08:50:49","2016-10-24"
"587","8bcb3516-4b03-4446-95fc-951ef86a39fd","7fc3ed7f-6162-4159-94ca-d01c12844972","location","HABTOUR GRAND HOTEL SIN EL FIL MOUNT LEBANON LEBANON","","","Sin El Fil, Lebanon",33.8699684,35.5366859,"ChIJY2qHdroXHxURcfVQ2XSQjT8",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Sin El Fil","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 17:02:38","2016-10-24"
"590","8ce38e2e-1851-480f-b443-534513feba4d","1d01c643-1e1d-4c7d-a53f-c42b6da34fd4","organization","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","2014-06-01","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","","",NA,"","Beirut",NA,NA,"","","","11-7503","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-30 10:30:38","2016-10-24"
"591","8ce38e2e-1851-480f-b443-534513feba4d","62352d34-65d0-417e-8f4a-44cd303bdf0a","location","URBANISTA BEIRUT LEBANON","","","Gemayzeh Street, Beirut, Lebanon",33.8950653,35.5135574,"ChIJIxTC_voWHxURO4DYPm5WZYw",NA,"Gemayzeh Street",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"Marfaa","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-30 10:30:38","2016-10-24"
"592","8ce38e2e-1851-480f-b443-534513feba4d","eaf047c6-329b-4feb-903f-24861642ea79","location","THE SMALLVILLE HOTEL BADARO BEIRUT LEBANON","","","Badaro, Beirut, Lebanon",33.8774796,35.5167618,"ChIJZ_wlCQYXHxURc5nOVdRsxSA",NA,"Badaro",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-30 10:30:38","2016-10-24"
"593","8ce38e2e-1851-480f-b443-534513feba4d","c9ffdf48-59a5-4160-904e-72189b9f1b18","location","UK LEBANON TECH HUB BEIRUT LEBANON","","","Berytech Digital Park Beirut Digital District 1294 Bechara El Khoury Road، Beirut 1107 2240, Lebanon",33.8897858,35.5062065,"ChIJWwPN-R0XHxURihFhLzxkVyQ",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","1107 2240","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-30 10:30:38","2016-10-24"
"594","8ce38e2e-1851-480f-b443-534513feba4d","9dc250b6-79e5-43b1-a23d-af6d57ad3b51","person","BEIT CHABEB","","","Beit Chabab, Lebanon",33.9271817,35.6724956,"ChIJNXNW8sY4HxURhmfXAGWAALY",NA,"",NA,NA,"Lebanon","Mount Lebanon Governorate","Matn","Beit Chabab","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-30 10:30:38","2016-10-24"
"598","8da5c591-ba77-480f-ad18-3d397fb2769f","750c2858-0ea3-4d9c-9b74-f3ab059b960c","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-17 06:37:07","2016-10-24"
"602","8e4e97d3-935d-493e-9b3d-383a5ca9bea8","aed37b9e-4f34-4fc2-bf12-924deadb39e4","person","JOUNIEH, MOUNT LEBANON, LEBANON","","","Jounieh, Lebanon",33.9842682,35.634449,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Kesrouane","","",NA,"","Jounieh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-25 16:39:11","2016-10-24"
"603","8e78bc3b-c8b8-4cf8-898e-234cedb9afd3","b2e31dc9-7108-48ce-8b1c-5e9e176564d5","organization","BEIRUT, LEBANON","2011-01-01","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-13 12:51:26","2016-10-24"
"604","8e78bc3b-c8b8-4cf8-898e-234cedb9afd3","3eeab59b-2e11-4992-aaa8-1a6d7732fad5","location","BEIRUT LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-13 12:51:26","2016-10-24"
"605","8f8af71f-a54b-4bbc-9624-f4ca72a620c7","0823f47e-322d-4486-88f7-907c2e83f286","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 08:51:41","2016-10-24"
"611","91107b05-6f9d-4e62-9f0b-15e346a75df9","37cfbd28-d047-4fe7-a785-7b8e3ac38758","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-05 08:58:07","2016-10-24"
"615","92abfef2-f98a-49a3-a970-79d7f6ad6461","d9daf418-bbd6-4bfa-a2b7-8f8ef52a2c01","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 10:30:48","2016-10-24"
"620","94425769-a0dc-4514-aea3-c4c6524afcb1","42c0169b-aaed-4593-ad2c-baa1766bdd27","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-15 02:27:02","2016-10-24"
"624","948a9ffc-8441-4ef6-906d-8d62c5fa42b7","59926251-cadc-4f85-b457-1dfc15f26727","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-21 07:09:22","2016-10-24"
"625","94bb597b-fb77-4394-83cf-d75aa92ad235","bbb22266-0e27-4457-8565-87c7d862f0a0","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-25 09:14:30","2016-10-24"
"626","94bb597b-fb77-4394-83cf-d75aa92ad235","07d86ab5-e2b5-4987-a243-5ce513b5d926","location","BEIRUT LEBANON","","","Beirut, Lebanon",33.8937912,35.5017776,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-25 09:14:30","2016-10-24"
"630","95844936-77b3-41de-99d6-93eafd799de4","ffaea9e9-6245-4248-9f72-940cd0ac0e51","organization","GTLOGIC HEAD OFFICE ANTELIAS LEBANON","2016-03-01","","Antelias-Bikfaya main street, Antelias, Lebanon",33.9148254,35.6009789,"ChIJUZ1xrGc-HxUR3I0LVaWsCiM",NA,"",NA,NA,"Lebanon","","","","",NA,"","Antelias",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-16 08:42:10","2016-10-24"
"631","95844936-77b3-41de-99d6-93eafd799de4","ffc21f0c-7188-41c7-ba84-affa042d8010","person","BIKFAYA","","","Bikfaiya, Lebanon",33.9206106,35.6815313,"ChIJlRceR-84HxURbpA8uodaBTk",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Matn","","",NA,"","Bikfaiya",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-16 08:42:10","2016-10-24"
"632","95844936-77b3-41de-99d6-93eafd799de4","28ceff77-30d2-4c95-9b41-a13da6039b30","organization","LEBTIVITY ANTELIAS LEBANON","2009-06-01","","Antelias-Bikfaya main street, Antelias, Lebanon",33.9147987,35.600975,"ChIJW8h9rGc-HxUREYTPUYNjUk8",NA,"",NA,NA,"Lebanon","","","","",NA,"","Antelias",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-16 08:42:10","2016-10-24"
"633","95844936-77b3-41de-99d6-93eafd799de4","0e1155b7-d4bc-4968-b634-01b224beb5ce","organization","GTLOGIC HEAD OFFICE ANTELIAS LEBANON","2009-06-01","","Antelias-Bikfaya main street, Antelias, Lebanon",33.9148254,35.6009789,"ChIJUZ1xrGc-HxUR3I0LVaWsCiM",NA,"",NA,NA,"Lebanon","","","","",NA,"","Antelias",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-16 08:42:10","2016-10-24"
"637","960969d4-95c1-47a5-853b-208cc0a63526","71ee44fb-22f0-4ad1-9b27-fe5d6b2b685f","person","BRUMMANA, MOUNT LEBANON, LEBANON","","","Brummana, Lebanon",33.885273,35.6386871,"ChIJu7oqYRg8HxURjptat57yhgQ",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","Brummana","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-20 08:46:24","2016-10-24"
"638","96f7891b-7c5d-4774-86a3-6465b2a64247","f610181e-05d6-42b6-bc98-fccd37cc1653","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"639","96f7891b-7c5d-4774-86a3-6465b2a64247","f4d0be86-1345-4ec5-aaaf-eade088d463c","location","JISR EL BACHA MOUNT LEBANON LEBANON","","","Jisr El Bacha, Lebanon",33.8648033,35.540966,"ChIJxwUkIbkXHxURmoNE76Ba3iQ",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Mkalless","",NA,"","Jisr El Bacha",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"642","9b91968d-e650-4e65-b9e0-e83f434f1eab","57e6d6f7-80d9-4ec9-96f6-649e6287b551","person","SIN EL FIL, MOUNT LEBANON, LEBANON","","","Sin El Fil, Lebanon",33.8728943,35.5356865,"ChIJ760ntrMXHxURevuxivgB8y0",NA,"",NA,NA,"Lebanon","Mount Lebanon","El Metn","Sin El Fil","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 09:07:25","2016-10-24"
"643","9b91968d-e650-4e65-b9e0-e83f434f1eab","8e885c83-3b78-42da-a4d5-5e5316b377ac","location","BIEL CENTER BEIRUT INTERNATIONAL EXHIBITION AND LEISURE CENTER BEIRUT LEBANON","","","BCD Colony, Beirut, Lebanon",33.9055786,35.5095291,"ChIJqVuTvu0WHxURxMF4l38QbYg",NA,"",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-31 09:07:25","2016-10-24"
"644","9cc28af0-43f8-4e7e-82f1-ff841da0f140","30b0a21b-93ab-46fb-b029-adf28e764ea8","event","BEIRUT, LEBANON","2015-03-01","2015-03-01","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"645","9cc28af0-43f8-4e7e-82f1-ff841da0f140","af294d1d-784d-4c46-9046-7e6ce8d926f3","location","BEIRUT LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"646","9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b","21831a2d-b39c-4d3b-9dc1-d60202ad2a9a","location","HAZMIYEH MOUNT LEBANON LEBANON","","","Hazmiyeh, Lebanon",33.8553391,35.5358849,"ChIJsY4FKZEXHxURDIkFFznrgDU",NA,"",NA,NA,"Lebanon","Mount Lebanon","Baabda","Baabda","",NA,"","Hazmiyeh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 10:03:55","2016-10-24"
"647","9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b","aee06edd-934d-40d7-a25d-a956bdb1c6ea","location","FORUM DE BEIRUT EXPO JISR BEIRUT LEBANON","","","Jisr, Lebanon",33.898304,35.5353928,"ChIJp5Sx3kIWHxURhh7-2pXUQd8",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jisr","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 10:03:55","2016-10-24"
"648","9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b","7066f675-e079-406d-888a-6825fb97a1d1","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-14 10:03:55","2016-10-24"
"653","9f3a679b-1cc6-4777-8d22-0bac96eb5f5e","2c115e59-7f5c-497b-84b0-e08712b4aac9","organization","DEKWANEH MOUNT LEBANON LEBANON","2014-05-01","","Dekwaneh, Lebanon",33.8793869,35.5437202,"ChIJpYsqg0oWHxURju7gIgVyRYk",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","","",NA,"","Dekwaneh",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-14 13:03:53","2016-10-24"
"654","9f3a679b-1cc6-4777-8d22-0bac96eb5f5e","5455bb42-6dae-4a64-836a-ad42779b8396","person","BEIRUT","","","Beirut, Lebanon",33.8937913,35.5017767,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut Governorate","Beirut","Beirut","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-14 13:03:53","2016-10-24"
