userid,incorporation,bank,credit,funding,hiring,office,exit,comments,last_updated,last_retrieved
1a2952f3-56ca-430b-b574-5b092006a8cb,20.0,7.0,3000.0,600.0,90.0,7.0,0.0,There is a gap in human capital in the tech sector that needs to be addressed via training and education,,2016-10-27 11:00:35.895834112
1a5e930f-bf85-46b3-ac80-6d82beb771d8,21.0,3.0,360.0,36.0,7.0,7.0,0.0,,,2016-10-27 11:00:36.915652096
1b740bb9-d649-4f50-85ea-379df30f6ce9,1095.0,180.0,730.0,1095.0,30.0,30.0,3650.0,"Many startup companies fail according to low capitals and cheap support from their government, so if these companies can be funded and given enough support they will solve their challenges in their communities and provide even contribution among them, Example employment problems, health challenges and other challenges which surround them.",,2016-10-27 11:00:37.227552000
1bb4f9c4-6a16-4cef-9337-f7ce7053612f,30.0,14.0,2.0,30.0,180.0,1.0,0.0,,,2016-10-27 11:00:37.541654016
1c5987a1-82d2-4cbb-96a9-f52445651728,60.0,2.0,360.0,360.0,120.0,7.0,360.0,,,2016-10-27 11:00:38.039838976
1dd0b9bc-a1ed-4e0e-ae7c-3db82a6f1ebe,90.0,30.0,30.0,180.0,30.0,30.0,180.0,environmental conservation,,2016-10-27 11:00:38.295234048
227350ae-26b5-4257-88ed-ac04f7528591,10.0,7.0,15.0,30.0,20.0,30.0,30.0,,,2016-10-27 11:00:38.698577920
2341f249-cddc-424f-9304-90f41927a4b0,20.0,5.0,90.0,25.0,45.0,15.0,1200.0,Very important as it can improve well being,,2016-10-27 11:00:39.108308992
23d19ac0-998b-45ef-bac7-d80109da8fdd,5.0,2.0,60.0,90.0,40.0,60.0,30.0,,,2016-10-27 11:00:39.484973056
25f34aa8-94f5-4e76-9c82-caf2c4f69c25,21.0,2.0,90.0,90.0,21.0,14.0,180.0,I believe the future in the automotive industry is the hybrid and electric cars. The future of our business service is developing technologies that can cater for such vehicles,,2016-10-27 11:00:40.098146048
2629e5a4-ffbb-4c04-8da2-46932180dc38,45.0,5.0,5.0,180.0,25.0,10.0,1000.0,,,2016-10-27 11:00:40.354597888
2745db0e-9490-4581-b6b3-094a346762b0,10.0,2.0,30.0,60.0,5.0,30.0,10.0,,,2016-10-27 11:00:40.827952128
2799f22b-bae6-4fc8-ae98-1f6585019421,30.0,365.0,1095.0,730.0,60.0,90.0,2104.0,"There are gaps in the ecosystem, No platform for people to meet, everyone is doing their own thing",,2016-10-27 11:00:41.292104960
291596df-81e4-4388-9854-9a887ecd4f9e,30.0,2.0,15.0,20.0,25.0,30.0,30.0,,,2016-10-27 11:00:41.678515968
2a0318d4-ad3d-4609-be9d-893cb8b576f1,30.0,5.0,60.0,120.0,30.0,30.0,100.0,,,2016-10-27 11:00:42.189436928
2b8f674e-075e-4d6a-a2d1-391a7c504adc,15.0,5.0,120.0,200.0,60.0,30.0,100000.0,No,,2016-10-27 11:00:42.286859008
2bae9e09-eae0-43ab-b942-61ca41b897c5,50.0,5.0,50.0,180.0,60.0,30.0,180.0,,,2016-10-27 11:00:42.908366080
2bbdfd26-b21d-44f5-b8b8-4272385491dd,150.0,2.0,120.0,180.0,20.0,30.0,1095.0,"Environment can also serve human life ,",,2016-10-27 11:00:43.109470976
2c07770e-a5dc-4fbe-b853-4757ef520df8,100.0,10.0,200.0,200.0,60.0,1.0,0.0,,,2016-10-27 11:00:43.354516992
2c14a2c8-0c2f-4300-8d17-f4821ff9b34a,60.0,7.0,730.0,1825.0,365.0,730.0,730.0,No,,2016-10-27 11:00:43.790480896
2c3fbdda-2e1e-4c66-8164-7926efd9903f,180.0,7.0,14.0,30.0,30.0,30.0,1095.0,Investment,,2016-10-27 11:00:44.095248896
2ccad399-950c-4a05-a96b-aed9ea0a55be,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,2016-10-18 17:25:10.000000000,2016-10-27 11:00:44.400748032
2e19730f-965a-45c0-ba95-139e633cfb5f,7.0,3.0,14.0,70.0,30.0,45.0,1095.0,no,,2016-10-27 11:00:44.452176896
2e1ccc82-cd72-464c-ba75-1e614c44ab33,30.0,2.0,180.0,180.0,30.0,14.0,1095.0,no,,2016-10-27 11:00:44.591563008
2e2b68b7-e5d2-428c-8868-95e07fbcaf92,5.0,7.0,23.0,109.0,30.0,66.0,101.0,,,2016-10-27 11:00:44.917120000
2e2ebc7e-95dd-493e-a9cc-4f4acf496322,30.0,2.0,180.0,90.0,30.0,60.0,1095.0,none,,2016-10-27 11:00:45.695768064
2eced606-fe98-4806-bc14-80a92a7d56bb,240.0,30.0,90.0,180.0,30.0,120.0,2850.0,n/a,,2016-10-27 11:00:45.890740992
2f2ba98c-40a3-4734-9c0d-ef4413b11576,7.0,6.0,6.0,48.0,43.0,32.0,32.0,,,2016-10-27 11:00:46.466251008
30a85a1e-026b-4f7b-b262-05475fd7736e,15.0,5.0,60.0,90.0,60.0,30.0,1000.0,"The VCs need to invest more in start ups and take more risks, rather than invest in safe start ups .. they are very risk averse.",,2016-10-27 11:00:47.636775936
