userid,supportdev,smartmoney,startupcreation,fosteringedu,changeculture,fundingimpact,supportimpact,last_updated,last_retrieved
773fa5d5-a347-48bb-a835-79c651aa3df7,4,4,5,3,5,Yes,Yes,,2016-10-27 11:01:24.340197120
813a90b4-5502-4263-9ee5-dacc5e296a30,4,4,4,4,4,No,0,,2016-10-27 11:01:29.009456896
82007eab-2ac9-43f1-8322-332f3549984a,0,0,0,0,0,No,0,,2016-10-27 11:01:29.784690944
8acea184-fd78-4325-8764-5ed85f550118,3,2,3,3,3,No,No,,2016-10-27 11:01:34.574298880
8bcb3516-4b03-4446-95fc-951ef86a39fd,5,3,5,3,4,0,Yes,,2016-10-27 11:01:35.201058048
8ce38e2e-1851-480f-b443-534513feba4d,4,3,4,2,3,0,0,,2016-10-27 11:01:35.569084928
8e4e97d3-935d-493e-9b3d-383a5ca9bea8,,,,,,,,,2016-10-27 11:01:36.726355968
8e78bc3b-c8b8-4cf8-898e-234cedb9afd3,3,3,3,3,3,0,No,,2016-10-27 11:01:36.924502016
948a9ffc-8441-4ef6-906d-8d62c5fa42b7,4,3,4,3,4,Yes,Yes,,2016-10-27 11:01:39.872314112
94bb597b-fb77-4394-83cf-d75aa92ad235,4,5,5,3,2,0,Yes,,2016-10-27 11:01:40.111910912
95844936-77b3-41de-99d6-93eafd799de4,4,3,4,3,4,0,Yes,,2016-10-27 11:01:40.795508992
9b91968d-e650-4e65-b9e0-e83f434f1eab,5,4,3,4,5,0,0,,2016-10-27 11:01:42.408688128
9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b,3,3,4,2,3,Yes,No,,2016-10-27 11:01:43.153774080
9f3a679b-1cc6-4777-8d22-0bac96eb5f5e,0,0,0,0,0,0,0,,2016-10-27 11:01:43.941255936
a04ebd0a-36cd-408c-80b7-be9742b73c58,4,2,3,0,4,No,Yes,,2016-10-27 11:01:44.369615104
a747f7ed-0a66-44bd-85a2-3dc11cb2eb57,4,3,4,3,4,No,Yes,,2016-10-27 11:01:47.397602048
a965a09f-2920-4ff6-aa7a-40075ecde0c3,4,4,4,5,4,No,Yes,,2016-10-27 11:01:47.930296064
aff17f10-e9da-449c-a661-fdb2d3029b28,5,4,4,5,4,No,Yes,,2016-10-27 11:01:50.351150080
b02f68f1-3dce-4590-ab01-a472ba6d6b14,5,5,5,5,5,Yes,Yes,,2016-10-27 11:01:50.854853120
b6a7d978-9a7f-4c22-8554-8eaac8dc620b,4,4,4,2,2,No,0,,2016-10-27 11:01:54.507616000
b83d19de-c412-4b2d-b515-68aa538d0d76,3,2,4,5,2,No,No,,2016-10-27 11:01:55.855750912
b937fe83-256a-44a5-9c78-51c7dc73b32a,3,4,5,3,4,Yes,0,,2016-10-27 11:01:56.946938880
bac08cb7-c5c4-4f64-84f1-ac4423be4cd5,5,4,4,4,4,No,No,,2016-10-27 11:01:57.971749888
bb78c124-3f42-43a9-b2df-a2c1a01f937b,4,1,4,5,3,Yes,Yes,,2016-10-27 11:01:58.420418048
bc7a703a-3b5b-4346-afe0-ce30fdb0aeb3,2,3,3,2,2,Yes,No,,2016-10-27 11:02:01.143288064
bd2e6487-cfc0-4a11-849f-ca38a7ff5c8f,5,4,3,3,2,Yes,Yes,,2016-10-27 11:02:01.977210880
