userid,nodeid,date,num_people,funding_amount,last_updated,last_retrieved
00663fdd-eaf7-4869-8388-180694397c14,fe9b8660-1452-45da-a813-d3d4d9aba816,2007-01-01 00:00:00.000000000,100.0,,,2016-10-27 11:00:20.976870912
02abc5e9-9994-477a-b863-8581cb859c18,63ba22c9-26f8-4537-a60f-8a8d163993cc,2015-11-01 00:00:00.000000000,35.0,,,2016-10-27 11:00:21.238118912
0338f765-8d07-4345-ae88-31b460d9fbf0,ab6df409-a8d0-4db2-838d-133fdab34778,2015-07-01 00:00:00.000000000,80.0,,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,c8a4f534-88d1-47b7-9a1e-373b181fef6b,2007-01-01 00:00:00.000000000,,3670.0,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,c8a4f534-88d1-47b7-9a1e-373b181fef6b,2008-12-01 00:00:00.000000000,2.0,,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,c8a4f534-88d1-47b7-9a1e-373b181fef6b,2015-12-01 00:00:00.000000000,16.0,,,2016-10-27 11:00:21.444116992
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,5ad960b8-492f-4226-9eb1-a554793d0308,2002-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,5ad960b8-492f-4226-9eb1-a554793d0308,2003-12-01 00:00:00.000000000,6.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,5ad960b8-492f-4226-9eb1-a554793d0308,2004-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,5ad960b8-492f-4226-9eb1-a554793d0308,2015-12-01 00:00:00.000000000,45.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1992-12-01 00:00:00.000000000,4.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1993-12-01 00:00:00.000000000,6.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1994-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1995-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1996-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1997-12-01 00:00:00.000000000,12.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1998-12-01 00:00:00.000000000,12.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,1999-12-01 00:00:00.000000000,12.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2000-12-01 00:00:00.000000000,12.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2001-12-01 00:00:00.000000000,12.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2002-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2003-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2004-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2005-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2006-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2007-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2008-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2009-12-01 00:00:00.000000000,10.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2010-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2011-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2012-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2013-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2014-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,7a29e63b-41fa-4b0a-9701-0e3969c0ad23,2015-12-01 00:00:00.000000000,8.0,,,2016-10-27 11:00:21.875623936
