"userid","nodeid","date",num_people,funding_amount,"last_updated","last_retrieved"
"32c73fcf-f803-4240-9691-5b0743e48e18","28e1982a-ad3a-458f-9843-a785294ce50b","2007-07-01",,3500,"2016-09-01 13:40:49","11:00:49"
"32c73fcf-f803-4240-9691-5b0743e48e18","28e1982a-ad3a-458f-9843-a785294ce50b","2007-02-01",2,,"2016-09-01 13:40:49","11:00:49"
"32c73fcf-f803-4240-9691-5b0743e48e18","28e1982a-ad3a-458f-9843-a785294ce50b","2016-01-01",3,,"2016-09-01 13:40:49","11:00:49"
"32dd93f5-3159-4ed2-a0a1-466e30973b6d","004ead48-1923-42cd-b90e-8765e33be693","2016-03-01",5000,,"2016-06-20 18:59:50","11:00:50"
"32dd93f5-3159-4ed2-a0a1-466e30973b6d","8385432e-bca5-44dd-b1cc-1be7e4bef735","2015-11-01",6000,,"2016-06-20 18:59:50","11:00:50"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde","c56f7d1d-a4d8-4829-a6ec-016592f9c94f","2016-03-01",500,,"2016-07-14 07:51:00","11:00:50"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde","04e9e1e1-7b3b-43b6-8cf5-8950cf5c14dc","2015-04-01",300,,"2016-07-14 07:51:00","11:00:50"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde","fe912bac-232e-4c27-8d90-15c2faae7176","2011-11-01",400,,"2016-07-14 07:51:00","11:00:50"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde","fdf03c41-c1da-4305-a966-3947361f1036","2016-04-01",300,,"2016-07-14 07:51:00","11:00:50"
"337366f6-3a4a-4fd3-8652-c22a157d763c","b1352a72-e369-43e5-9368-367c4cd30677","2015-12-01",0,,"2016-05-24 18:06:35","11:00:51"
"337366f6-3a4a-4fd3-8652-c22a157d763c","14762262-e63f-46f2-9add-ebd6e914bc8a","2015-10-01",50,,"2016-05-24 18:06:35","11:00:51"
"337366f6-3a4a-4fd3-8652-c22a157d763c","75e8a04f-1361-4bcf-b1a3-087f0b3a564d","2015-06-01",2,,"2016-05-24 18:06:35","11:00:51"
"337366f6-3a4a-4fd3-8652-c22a157d763c","0081834b-f437-4bfc-8a41-d9ccae886222","2016-02-01",30,,"2016-05-24 18:06:35","11:00:51"
"3417f1ac-0100-418f-809d-f96a809953bf","1e339030-c3da-4791-906f-1a3d3a4ad72a","2014-10-01",1000,,"2016-05-24 18:06:35","11:00:51"
"3417f1ac-0100-418f-809d-f96a809953bf","e3a84bf5-ff39-4cc5-a789-6175453b39fa","2015-10-01",15,,"2016-05-24 18:06:35","11:00:51"
"3417f1ac-0100-418f-809d-f96a809953bf","e12df612-2fd1-4e08-8d91-0b2fe0af0109","2016-01-01",50,,"2016-05-24 18:06:35","11:00:51"
"3450c89b-7ca0-4c7f-9ac0-7b5331c52be2","42192b50-4c05-4a7f-8f15-783b098daeb7","2011-06-01",350,,"2016-09-07 09:04:00","11:00:52"
"352f69a7-194b-409f-a2f7-5d800ef6c39a","6c2cc26b-a264-4c3b-9045-c15d61ebc919","2015-12-01",,,"2016-05-24 18:06:35","11:00:52"
"352f69a7-194b-409f-a2f7-5d800ef6c39a","6c2cc26b-a264-4c3b-9045-c15d61ebc919","2016-03-01",,,"2016-05-24 18:06:35","11:00:52"
